Title,Genre,Language,Platform,Mood,Runtime,Rating,Description
Son of Sardaar,Comedy,hindi,JioHotstar,Action,140,6,"After returning to his parents' village, a man becomes the latest target in a long-standing family feud."
Mitti,Drama,punjabi,Zee,Drama,136,7,The movie revolves around the Punjabi youth politics and 4 guys for whom their land is their mother which cannot be sold.
Ek Villain,Action,hindi,Sony,Comedy,128,6,"Ek Villain is a Hindi thriller movie of a gangster Guru (Sidharth Malhotra) whose life changes after he falls in love with Aisha (Shraddha Kapoor) and decides to mend his ways. When Aisha gets murdered by a psychotic serial killer Rakesh (Riteish Deshmukh), Guru begins to search for the culprit. Watch Ek Villain to see Guru’s obstacle ridden journey in search for Aisha’s murderer"
Heer Ranjha - A True Love Story,Romance,punjabi,ETV,Horror,145,8,Heer Ranjha takes us back to the immortal eternal love story shard between the most romantic lovers of all time Heer and Ranjha.
Bol,Drama,hindi,Eros Now,Romantic,151,8,"A religious Muslim family refuses to accept their transgender son, which creates a conflict within the family and ends up tearing them apart."
Agent Vinod,Action,hindi,JioHotstar,Action,149,9,Watch Mahendra Sandhu and Jagdeep's classic spy thriller that nattily unfolds a web of startling mysteries.
Kochadaiiyaan - The Legend - Hindi,Action,hindi,Zee,Drama,118,6,"Rana, a noble warrior, seeks revenge against his father's killer, Rishikodagan. Meanwhile, he also upsets and attracts the ire of the enemy kingdom's ruler, Raja Mahendran."
Toonpur Ka Superrhero,Family,hindi,Sony,Comedy,95,7,The story revolves around Aditya Kumar who accidentally lands in the world of cartoons and transforms into a real life hero.
Dishkiyaoon,Action,hindi,ETV,Horror,118,6,"Given a choice between ambition and revenge, only a deadly mind would pick both. Viki picks both. Big dreams, big cost. Actions have consequences."
Warning,Thriller,hindi,Eros Now,Romantic,107,6,WARNING is a 3D UNDERWATER film about seven friends stuck in a life-threatening crisis. The lucky ones will die first and the rest will go through the worst nightmares of their lives.
Always Kabhi Kabhi,Drama,hindi,JioHotstar,Action,119,6,"The film revolves around four characters whose destinies seem to take them on different paths. Somehow, though, they all come together at St.Marks."
Kambakkht Ishq,Comedy,hindi,Zee,Drama,134,9,A romantic comedy about a successful Indian stuntman who takes Hollywood by the storm but cannot find true love.
Teri Meri Kahaani,Drama,hindi,Sony,Comedy,117,9,"Three couples from three different eras find love and despite the trials and tribulations they face along the way, destiny seems determined to keep them together."
Vaada Raha - I Promise,Drama,hindi,ETV,Horror,105,7,"When Duke meets with an accident, he is abandoned by his lover Nalini and friends, until a young boy enters his life and brings back the hope."
Raanjhanaa,Drama,hindi,Eros Now,Romantic,138,7,"A small-town boy, Kundan, needs to break through the class divide to gain acceptance from his childhood love who is in love with big city ideals."
Khiladi 786,Comedy,hindi,JioHotstar,Action,139,9,"Khiladi 786 is a Hindi comedy movie, in which Mansukh (Himesh Reshammiya) accepts the challenge of getting Indu (Asin), an underworld don's sister married to a cop to prove his worth. Bahattar (Akshay Kumar), a cop from a village in Punjab gets his life entangled with Mansukh and Indu. Watch Khiladi 786 and the see the chaotic madness that ensues due to this entanglement!"
Pankh,Mature,hindi,Zee,Drama,96,9,"The film focuses on a phenomenon that was peculiar to the film industry, the practice of casting children in roles opposite to their natural genders."
Go Goa Gone,Comedy,hindi,Sony,Comedy,102,8,A group of friends visit a rave party on a remote island in Goa only to find that the island is infested with Zombies.
Bajatey Raho,Comedy,hindi,ETV,Horror,105,8,A hilarious con-comedy where a group of people decides to con the cunning businessman who is actually responsible for swindling them.
Rangeelay,Comedy,punjabi,Eros Now,Romantic,129,7,"When Sunny accidentally takes Simmi's scooter, a love-hate relationship develops when he tries to return the scooter to its rightful owner."
Goliyon Ki Raasleela Ram-Leela,Drama,hindi,JioHotstar,Action,155,7,"Ram Leela is a tragic love story of Ram (Ranveer Singh) and Leela (Deepika Padukone). The movie set up in Gujarat showcases an on-going rivalry between the two families and a love story that blooms while hiding from this rivalry. Watch Ram Leela, a Hindi movie that makes you realise the strength that love can bring amongst two people to protect their innocent love from their families."
Purani Jeans,Drama,hindi,Zee,Drama,134,8,Purani Jeans is a film based on the belief that friendship is like a pair of old jeans -- the more you wear them the better it gets.
R... Rajkumar,Comedy,hindi,Sony,Comedy,145,8,"Rajkumar, an aimless young man, works for a drug baron and is sent to kill a rival dealer. His life changes when he sets eyes on the beautiful Chanda."
Sahi Dhandhe Galat Bande,Comedy,hindi,ETV,Horror,119,7,"When the son of a politician is abducted, the kidnappers play a dangerous double game to support activists against land grabbing by the Government."
Filhaal,Drama,hindi,Eros Now,Romantic,151,9,"Rewa is devastated when she comes to know she cannot bear a child. So, her best friend, Sia offers to be the surrogate mother."
De Dana Dan,Comedy,hindi,JioHotstar,Action,167,6,Nitin and Ram have been given an ultimatum by their rich girlfriends to either earn money or leave them alone. What follows then is a hilarious series of events!
Housefull,Comedy,hindi,Zee,Drama,148,7,"A mascot for bad luck, Aarush's life turns into comical chaos after his wife runs away on the honeymoon night."
Tera Mera Ki Rishta,Romance,punjabi,Sony,Comedy,166,6,A young man and woman from different backgrounds fall in love with each other but face problems later and separate.
Badlapur,Action,hindi,ETV,Horror,134,8,"Badlapur is a Hindi crime drama movie. Raghu (Varun Dhawan) was a happily married man, before losing his wife Misha (Yami Gautam) & his son to two bank robbers: Liak (Nawazuddin Siddiqui) & Harman (Vinay Pathak). Years later, Raghu might get a chance to take revenge against the killers for which he has patiently waited. Watch Badlapur to know if Raghu succeeds in avenging his family!"
Tevar,Action,hindi,Eros Now,Romantic,156,9,"Caught in the middle of a lethal unrequited love, a kabaddi player tries to safeguard a young woman from an unwanted marriage with a dangerous faction leader."
Lekar Hum Deewana Dil,Comedy,hindi,JioHotstar,Action,133,7,"A year in the young and passionate lives of Dino and Karishma who go through friendship, disillusionment, conflict and heartbreak until they realize true love."
NH10,Action,hindi,Zee,Drama,111,9,"On their way to a weekend retreat, Arjun and Meera find their dream vacation turn into a nightmare when they cross path with a dangerous gang."
Vicky Donor,Comedy,hindi,Sony,Comedy,125,8,"A man is reluctantly brought in to donate his sperm by an infertility doctor, and eventually, he ends up becoming the biggest sperm donor of his clinic."
Nanhe Jaisalmer,Drama,hindi,ETV,Horror,112,7,A young boy in a poor family of Rajasthan is a big fan of Bobby Deol. Imagine his surprise when Bobby Deol comes face to face with him.
Happy Ending,Comedy,hindi,Eros Now,Romantic,134,7,A confused writer goes on the search for inspiration for his next story and falls in love with a best seller author who doesn't believe in love.
English Vinglish,Drama,hindi,JioHotstar,Action,133,9,"English Vinglish is a heart-touching Hindi family drama movie about Sashi Godbole (Sridevi) who is an insecure & under confident middle-class housewife. Her struggle to speak & understand English is ridiculed by her own family. Watch English Vinglish to witness the transformation of Sashi, who tries to overcome this language barrier and eventually turn into a much more confident woman."
Saadi Love Story,Comedy,punjabi,Zee,Drama,109,7,"Preeti's sister is hospitalized after an accident, and two men show up claiming to be her fiance."
